x,y,class
9.802,10.132,class1
10.35,9.768,class1
10.098,9.988,class1
9.73,9.91,class1
9.754,10.43,class1
9.836,9.902,class1
10.238,9.866,class1
9.53,9.862,class1
10.154,9.82,class1
9.336,10.456,class1
9.378,10.21,class1
9.712,10.264,class1
9.638,10.208,class1
9.518,9.956,class1
10.236,9.91,class1
9.4,10.086,class1
10.196,9.746,class1
10.138,9.828,class1
10.062,10.26,class1
10.394,9.984,class1
10.284,10.348,class1
9.706,9.978,class1
9.906,10.588,class1
10.356,9.198,class1
9.954,9.704,class1
9.796,10.378,class1
10.386,10.608,class1
10.41,9.912,class1
10.172,10.598,class1
10.286,9.712,class1
9.932,10.234,class1
10.298,9.948,class1
10.352,9.932,class1
9.848,10.328,class1
10.514,10.498,class1
9.944,9.934,class1
9.92,10.022,class1
9.908,10.606,class1
10.182,9.99,class1
10.256,9.25,class1
12.04,10.028,class2
12.082,10.044,class2
12.4,10.156,class2
11.988,9.926,class2
12.34,9.918,class2
12.228,9.978,class2
12.348,10.488,class2
12.044,9.358,class2
11.736,10.122,class2
12.35,9.798,class2
11.246,10.122,class2
12.276,10.99,class2
12.374,10.018,class2
12.53,10,class2
12.27,9.792,class2
12.364,10.176,class2
12.458,10.18,class2
11.952,9.682,class2
11.772,9.924,class2
11.502,10.008,class2
12.134,9.482,class2
11.628,10.286,class2
12.064,9.616,class2
11.906,9.82,class2
11.736,10.29,class2
12.114,10.904,class2
11.59,9.712,class2
12.648,9.814,class2
12.164,11.018,class2
12.22,9.796,class2
11.846,9.634,class2
11.808,10.058,class2
12.096,9.846,class2
11.594,10.078,class2
12.252,9.938,class2
11.998,9.676,class2
11.894,10.012,class2
12.274,9.936,class2
12.176,10.364,class2
12.104,10.388,class2
11.372,11.466,class3
10.94,11.482,class3
11.084,11.554,class3
11.232,11.374,class3
11.22,11.64,class3
10.962,11.75,class3
11.014,11.746,class3
11.524,10.982,class3
11.012,11.364,class3
11.2,11.062,class3
11.626,11.894,class3
11.23,11.728,class3
11.144,11.91,class3
11.106,11.868,class3
11.53,11.918,class3
11.21,11.114,class3
10.746,11.702,class3
11.154,11.692,class3
11.412,11.924,class3
10.948,11.532,class3
10.988,12.298,class3
10.96,11.392,class3
11.656,11.346,class3
11.178,12.062,class3
11.368,11.56,class3
11.264,11.724,class3
11.554,11.576,class3
10.974,11.114,class3
11.12,11.634,class3
11.51,12.052,class3
10.95,11.402,class3
11.864,12.406,class3
11.198,10.854,class3
11.65,11.496,class3
11.248,11.722,class3
11.602,11.888,class3
11.424,11.454,class3
11.312,11.718,class3
10.736,11.68,class3
11.56,11.798,class3
10.028,12.268,class4
9.282,11.976,class4
9.178,11.53,class4
9.954,12.398,class4
9.622,11.558,class4
9.914,11.844,class4
9.07,11.092,class4
10.578,11.354,class4
9.582,12.14,class4
9.622,11.528,class4
9.35,11.71,class4
10.234,11.974,class4
8.986,12.31,class4
9.438,12.11,class4
9.592,12.012,class4
9.666,11.88,class4
9.364,12.012,class4
9.71,11.772,class4
9.992,11.836,class4
9.916,12.028,class4
9.382,12.226,class4
9.808,12.23,class4
9.272,12.152,class4
9.392,11.18,class4
9.28,11.976,class4
9.848,11.632,class4
9.322,11.514,class4
9.718,11.95,class4
9.12,11.76,class4
8.978,12.37,class4
10.072,12.202,class4
9.966,11.822,class4
9.506,11.648,class4
9.702,11.536,class4
9.45,11.96,class4
9.916,11.962,class4
9.96,11.538,class4
9.014,11.744,class4
9.024,11.846,class4
10.296,11.61,class4
7.87,10.838,class5
8.164,10.534,class5
8.214,10.62,class5
8.166,10.698,class5
8.05,10.746,class5
7.978,11.13,class5
8.08,10.992,class5
8.472,11.082,class5
8.494,10.584,class5
8.354,10.38,class5
8.096,10.714,class5
7.882,10.832,class5
7.908,11.346,class5
7.814,10.872,class5
8.28,10.104,class5
8.082,10.676,class5
8.068,10.118,class5
8.116,10.698,class5
8.042,10.79,class5
8.096,10.878,class5
8.124,10.932,class5
8.632,11.124,class5
8.27,10.716,class5
7.622,10.148,class5
8.198,11.398,class5
8.582,11.064,class5
7.942,11.076,class5
8.004,10.574,class5
8.504,11.378,class5
8.118,11.012,class5
7.874,11.296,class5
7.668,10.924,class5
7.966,10.72,class5
7.94,10.996,class5
7.988,11.228,class5
8.164,11.112,class5
8.386,10.772,class5
8.248,10.994,class5
8.286,10.734,class5
8.224,10.316,class5
7.976,9.578,class6
7.876,8.796,class6
8.172,9.01,class6
8.068,9.202,class6
8.416,8.654,class6
8.71,8.458,class6
8.056,8.434,class6
7.304,9.266,class6
8.118,8.608,class6
7.616,9.446,class6
8.092,8.956,class6
8.368,8.968,class6
8.022,9.334,class6
8.32,9.062,class6
7.832,8.952,class6
7.704,8.672,class6
8.236,9.108,class6
8.37,8.904,class6
8.352,8.896,class6
8.046,9.228,class6
7.71,9.538,class6
8.534,8.55,class6
7.996,9.172,class6
8.046,9.204,class6
8.622,9.174,class6
7.776,8.898,class6
8.226,9.038,class6
7.904,9.194,class6
7.874,8.856,class6
7.992,8.952,class6
8.262,9.468,class6
8.088,9.294,class6
8.034,9.792,class6
8.352,9.016,class6
7.85,9.334,class6
8.404,9.366,class6
7.892,8.808,class6
8.202,9.232,class6
7.668,9.026,class6
8.242,9.308,class6
9.432,8.61,class7
10.066,8.19,class7
9.146,8.044,class7
9.662,7.866,class7
9.6,7.874,class7
8.618,8.552,class7
9.334,7.658,class7
9.424,7.83,class7
8.892,8.166,class7
9.386,7.746,class7
9.878,8.054,class7
9.558,7.948,class7
9.222,8.002,class7
9.52,8.282,class7
9.76,7.932,class7
9.568,8.052,class7
9.736,7.552,class7
9.584,8.478,class7
9.358,8.242,class7
9.404,7.79,class7
9.458,8.54,class7
9.482,7.766,class7
8.844,8.024,class7
9.29,8.472,class7
9.274,7.566,class7
9.11,8.014,class7
9.542,7.688,class7
9.432,8.122,class7
9.786,8.066,class7
9.382,7.664,class7
9.404,8.228,class7
9.146,8.158,class7
9.622,8.004,class7
10.286,7.892,class7
9.43,7.676,class7
9.44,8.058,class7
9.788,7.684,class7
9.586,7.91,class7
9.694,7.448,class7
9.576,7.866,class7
11.442,8.688,class8
11.466,8.558,class8
10.674,8.936,class8
11.23,8.126,class8
11.614,8.588,class8
11.59,8.496,class8
11.536,7.586,class8
11.638,8.266,class8
11.16,8.43,class8
10.904,8.532,class8
11.284,8.742,class8
11.25,8.192,class8
10.84,8.218,class8
11.798,8.836,class8
11.51,8.094,class8
10.932,7.796,class8
11.404,8.206,class8
11.088,8.326,class8
11.334,8.17,class8
11.272,8.394,class8
11.59,8.408,class8
11.212,8.516,class8
11.566,8.024,class8
11.246,8.584,class8
11.252,8.566,class8
10.78,8.294,class8
11.04,8.322,class8
11.198,7.886,class8
11.168,8.262,class8
11.88,8.08,class8
11.356,8.586,class8
11.182,8.342,class8
10.836,8.664,class8
11.696,8.906,class8
11.282,8.28,class8
10.718,8.534,class8
10.444,8.684,class8
11.124,8.618,class8
11.392,8.94,class8
11.212,8.308,class8
16.674,9.638,class9
16.162,10.302,class9
16.612,10.218,class9
16.1,9.702,class9
16.404,10.072,class9
15.93,10.106,class9
16.128,9.888,class9
16.41,10.188,class9
15.982,9.92,class9
