x,y,class
54620,43523,5class
52694,42750,5class
53253,43024,5class
54925,42624,5class
54973,43980,5class
52967,42955,5class
55143,40238,5class
53071,44896,5class
55710,44219,5class
54459,43964,5class
54467,44351,5class
53570,41898,5class
55155,43399,5class
54051,41019,5class
55335,44023,5class
54449,42872,5class
53399,42273,5class
54241,43580,5class
56000,41710,5class
53204,42630,5class
54524,42904,5class
55665,44100,5class
55829,40780,5class
54059,42096,5class
53106,42771,5class
54427,43777,5class
55368,41828,5class
53927,45077,5class
55278,44081,5class
55909,41497,5class
53344,42929,5class
55095,42443,5class
55645,43363,5class
55718,43777,5class
57115,44424,5class
54963,44875,5class
54483,43594,5class
54543,44843,5class
54263,39356,5class
53992,42499,5class
54729,40311,5class
55013,44589,5class
53332,43782,5class
52627,41645,5class
57103,40709,5class
54352,42520,5class
50478,42084,5class
54849,41733,5class
53055,42310,5class
55191,42127,5class
51936,41784,5class
54594,44345,5class
52164,42650,5class
56302,42288,5class
52913,44156,5class
53697,46311,5class
53582,40916,5class
52993,40890,5class
54222,43822,5class
52221,43490,5class
55062,44521,5class
52460,42366,5class
54341,45492,5class
52195,42091,5class
53141,41774,5class
53476,41355,5class
54256,44048,5class
56036,42102,5class
54916,42689,5class
53420,44299,5class
54924,42079,5class
56208,41204,5class
53855,42912,5class
55078,42668,5class
52975,43407,5class
52526,43275,5class
56191,42928,5class
56569,44022,5class
53730,42300,5class
56749,45529,5class
55281,42586,5class
56338,39718,5class
52456,43210,5class
55388,42905,5class
55983,42644,5class
54325,45723,5class
52346,41845,5class
52745,42741,5class
54393,42416,5class
53106,42336,5class
56285,41221,5class
54064,41409,5class
53703,44027,5class
54179,45588,5class
55395,42014,5class
53023,46128,6class
56830,40997,5class
57981,42287,5class
52898,41098,5class
54307,42992,5class
55303,44416,5class
52517,43287,5class
53727,41735,5class
55346,40987,5class
53531,43995,5class
54225,40013,5class
54111,43711,5class
55977,44177,5class
55227,44206,5class
52351,45876,6class
49952,42514,5class
55911,44667,5class
55825,42139,5class
53832,43983,5class
54353,42453,5class
50548,44199,5class
54329,44001,5class
54691,42918,5class
54026,42248,5class
54140,42328,5class
54032,42111,5class
54556,42397,5class
55092,43404,5class
54417,42391,5class
57398,41217,5class
55169,42237,5class
53973,44112,5class
53795,43670,5class
52409,41340,5class
51167,45741,6class
56804,43627,5class
56299,42413,5class
55062,43027,5class
54716,43766,5class
54943,41966,5class
57196,43284,5class
54033,40367,5class
56416,42968,5class
56087,43599,5class
54414,44613,5class
52304,42213,5class
57416,43226,5class
54876,42500,5class
52495,41064,5class
54272,43145,5class
55984,40501,5class
53322,41799,5class
55053,43347,5class
54308,42602,5class
54091,44335,5class
50545,49343,6class
50711,50227,6class
49983,48300,6class
51327,46829,6class
53980,49207,6class
52846,50052,6class
51816,47204,6class
51421,49806,6class
49762,47210,6class
51564,50111,6class
51541,48433,6class
54602,50309,6class
51116,48104,6class
53307,51015,6class
51683,49283,6class
51485,48750,6class
52477,50139,6class
52872,50375,6class
54275,48580,6class
51460,49224,6class
52073,50583,6class
50778,50832,6class
52994,49958,6class
52103,49204,6class
51076,50440,6class
49868,50597,6class
51122,48724,6class
53609,48195,6class
50862,48277,6class
50697,47557,6class
52531,50046,6class
51759,49073,6class
50162,50113,6class
51046,51417,6class
52256,47563,6class
54748,47435,6class
51069,50726,6class
53561,46928,6class
50745,51221,6class
51125,52196,6class
49630,48514,6class
53771,49411,6class
50498,50993,6class
52768,50430,6class
51476,50875,6class
50128,50117,6class
49685,48605,6class
49164,46821,6class
51674,48858,6class
50230,49055,6class
53145,48166,6class
50617,48690,6class
53365,47853,6class
53322,49129,6class
52899,49148,6class
53498,48141,6class
50423,47832,6class
51377,48123,6class
50843,49836,6class
51344,48631,6class
52620,47208,6class
53300,49981,6class
53300,50101,6class
51333,48502,6class
52533,48519,6class
49164,49656,6class
52172,50246,6class
52323,49316,6class
49154,48565,6class
50651,49838,6class
50835,50099,6class
53742,49907,6class
50691,50499,6class
51354,46853,6class
50952,49346,6class
52105,49253,6class
52045,48784,6class
51808,47875,6class
51536,50378,6class
52080,46732,6class
51189,50434,6class
51798,48228,6class
