x,y,class
56299,42413,class1
55062,43027,class1
53253,43024,class1
57196,43284,class1
54033,40367,class1
55143,40238,class1
56416,42968,class1
55710,44219,class1
52304,42213,class1
57416,43226,class1
54876,42500,class1
55984,40501,class1
54449,42872,class1
53322,41799,class1
53399,42273,class1
54241,43580,class1
54524,42904,class1
55278,44081,class1
55095,42443,class1
55645,43363,class1
54263,39356,class1
53992,42499,class1
55013,44589,class1
57103,40709,class1
51936,41784,class1
53582,40916,class1
52993,40890,class1
52460,42366,class1
53476,41355,class1
54916,42689,class1
52526,43275,class1
56569,44022,class1
55281,42586,class1
55983,42644,class1
54325,45723,class1
53106,42336,class1
54064,41409,class1
53703,44027,class1
54179,45588,class1
57981,42287,class1
54307,42992,class1
54225,40013,class1
54111,43711,class1
55825,42139,class1
53832,43983,class1
54329,44001,class1
57398,41217,class1
53973,44112,class1
53795,43670,class1
52409,41340,class1
52393,49486,class2
51011,48580,class2
53182,51978,class2
50822,48480,class2
53264,48831,class2
48715,49479,class2
52903,49650,class2
52902,50105,class2
50369,49615,class2
51167,45741,class2
49983,48300,class2
50015,49385,class2
53980,49207,class2
49968,44951,class2
52846,50052,class2
51816,47204,class2
49762,47210,class2
52094,49427,class2
54602,50309,class2
51485,48750,class2
52477,50139,class2
51589,53212,class2
52103,49204,class2
49868,50597,class2
51122,48724,class2
53609,48195,class2
51069,50726,class2
51125,52196,class2
50498,50993,class2
53498,48141,class2
53300,49981,class2
53300,50101,class2
52533,48519,class2
49164,49656,class2
52172,50246,class2
52323,49316,class2
49154,48565,class2
50651,49838,class2
50835,50099,class2
53742,49907,class2
52045,48784,class2
51808,47875,class2
51536,50378,class2
52080,46732,class2
51189,50434,class2
51798,48228,class2
50307,51082,class2
50244,48477,class2
52757,50130,class2
52613,50446,class2
51235,49140,class2
61589,48446,class3
63074,47510,class3
58730,46167,class3
61872,46473,class3
60129,46161,class3
56623,47837,class3
60470,45222,class3
58565,46331,class3
60601,47937,class3
61782,47084,class3
63081,47684,class3
60597,46399,class3
59077,48115,class3
58976,45060,class3
60989,47257,class3
61190,47066,class3
59637,45811,class3
62457,44344,class3
62737,46856,class3
62480,45840,class3
61383,46454,class3
59180,45359,class3
60634,45826,class3
61909,46072,class3
63957,47753,class3
62426,44954,class3
62033,45635,class3
61595,47677,class3
61495,46965,class3
60152,49128,class3
59953,46852,class3
58162,45461,class3
61576,48371,class3
59026,46292,class3
61555,46519,class3
59988,48268,class3
59397,44267,class3
61898,46911,class3
62113,46253,class3
61500,44023,class3
59691,47572,class3
60755,44937,class3
59458,47430,class3
59370,48566,class3
59962,46140,class3
59247,43976,class3
62130,43638,class3
61766,44822,class3
61211,44484,class3
62982,45314,class3
59095,50820,class4
58808,52874,class4
63244,53722,class4
60730,52083,class4
57987,50535,class4
57316,51557,class4
59345,53451,class4
59309,53689,class4
60443,53128,class4
59396,54860,class4
60024,50389,class4
61272,52410,class4
58644,54218,class4
59434,52433,class4
61099,50199,class4
57111,51732,class4
59626,52424,class4
59411,54228,class4
61799,52927,class4
61232,53224,class4
58336,53014,class4
60820,53919,class4
60946,53614,class4
57803,50468,class4
59045,52706,class4
60617,51398,class4
60868,51134,class4
60097,49612,class4
59953,50937,class4
59898,51245,class4
58802,53819,class4
62297,52300,class4
58543,53625,class4
61593,51496,class4
61290,54028,class4
59620,53606,class4
58402,52389,class4
58134,51877,class4
59040,54950,class4
60396,52805,class4
60679,50894,class4
62169,51916,class4
60531,53274,class4
61775,53359,class4
63057,51681,class4
60327,51525,class4
58371,50040,class4
58762,51916,class4
62313,53461,class4
60787,51558,class4
60948,49685,class4
46371,47909,class5
43671,47848,class5
43629,46252,class5
44762,46708,class5
42896,46268,class5
44691,46276,class5
45486,44940,class5
46071,50218,class5
45351,45046,class5
46676,46171,class5
44201,48116,class5
46191,48317,class5
44577,46345,class5
41508,47088,class5
46226,45384,class5
46924,47066,class5
45562,47033,class5
46969,46954,class5
45755,46024,class5
45754,46817,class5
44916,46930,class5
42990,47111,class5
45705,47041,class5
47260,47193,class5
44325,46733,class5
44324,44879,class5
44717,47856,class5
46021,44331,class5
45786,46580,class5
47162,47068,class5
44772,46447,class5
43274,47372,class5
42182,45481,class5
44362,45655,class5
45840,49753,class5
46384,44600,class5
48266,45184,class5
43897,46696,class5
42141,45706,class5
42508,47345,class5
41955,45767,class5
45015,46110,class5
45356,44834,class5
46179,46421,class5
45360,46378,class5
44163,47526,class5
42409,44578,class5
43905,45300,class5
42749,45475,class5
44698,44129,class5
43280,46617,class5
35880,44226,class6
39028,46813,class6
39884,40043,class6
39846,44359,class6
39657,46012,class6
39036,46009,class6
39553,42753,class6
35876,43700,class6
37021,42818,class6
38863,44153,class6
38508,42962,class6
37264,47422,class6
38967,44890,class6
38396,44576,class6
38385,42809,class6
36294,42107,class6
