x,y,class
1.85,27.8,class1
1.35,26.65,class1
1.4,23.25,class2
0.85,23.05,class2
0.5,22.35,class2
0.65,21.35,class2
1.1,22.05,class2
1.35,22.65,class2
1.95,22.8,class2
2.4,22.45,class2
1.8,22,class2
2.5,21.85,class2
2.95,21.4,class2
1.9,21.25,class2
1.35,21.45,class2
1.35,20.9,class2
1.25,20.35,class2
1.75,20.05,class2
2,20.6,class2
2.5,21,class2
1.7,19.05,class2
2.4,20.05,class2
3.05,20.45,class2
3.7,20.45,class2
3.45,19.9,class2
2.95,19.5,class2
2.4,19.4,class2
2.4,18.25,class2
2.85,18.75,class2
3.25,19.05,class2
3.95,19.6,class2
2.7,17.8,class2
3.45,18.05,class2
3.8,18.55,class2
4,19.1,class2
4.45,19.9,class2
4.65,19.15,class2
4.85,18.45,class2
4.3,18.05,class2
3.35,17.3,class2
3.7,16.3,class2
4.4,16.95,class2
4.25,17.4,class2
4.8,17.65,class2
5.25,18.25,class2
5.75,18.55,class2
5.3,19.25,class2
6.05,19.55,class2
6.5,18.9,class2
6.05,18.2,class2
5.6,17.8,class2
5.45,17.15,class2
5.05,16.55,class2
4.55,16.05,class2
4.95,15.45,class2
5.85,14.8,class2
5.6,15.3,class2
5.65,16,class2
5.95,16.8,class2
6.25,16.4,class2
6.1,17.45,class2
6.6,17.65,class2
6.65,18.3,class2
7.3,18.35,class2
7.85,18.3,class2
7.15,17.8,class2
7.6,17.7,class2
6.7,17.25,class2
7.3,17.25,class2
6.7,16.8,class2
7.3,16.65,class2
6.75,16.3,class2
7.4,16.2,class2
6.55,15.75,class2
7.35,15.8,class2
6.8,14.95,class2
7.45,15.1,class2
6.85,14.45,class2
7.6,14.6,class2
8.55,14.65,class2
8.2,15.5,class2
7.9,16.1,class2
8.05,16.5,class2
7.8,17,class2
8,17.45,class2
8.4,18.1,class2
8.65,17.75,class2
8.9,17.1,class2
8.4,17.1,class2
8.65,16.65,class2
8.45,16.05,class2
8.85,15.35,class2
9.6,15.3,class2
9.15,16,class2
10.2,16,class2
9.5,16.65,class2
10.75,16.6,class2
10.45,17.2,class2
9.85,17.1,class2
9.4,17.6,class2
10.15,17.7,class2
9.85,18.15,class2
9.05,18.25,class2
9.3,18.7,class2
9.15,19.15,class2
8.5,18.8,class2
11.65,17.45,class2
11.1,17.65,class2
10.4,18.25,class2
10,18.95,class2
11.95,18.25,class2
11.25,18.4,class2
10.6,18.9,class2
11.15,19,class2
11.9,18.85,class2
12.6,18.9,class2
11.8,19.45,class2
11.05,19.45,class2
10.3,19.4,class2
9.9,19.75,class2
10.45,20,class2
13.05,19.9,class2
12.5,19.75,class2
11.9,20.05,class2
11.2,20.25,class2
10.85,20.85,class2
11.4,21.25,class2
11.7,20.6,class2
12.3,20.45,class2
12.95,20.55,class2
12.55,20.95,class2
12.05,21.25,class2
11.75,22.1,class2
12.25,21.85,class2
12.8,21.5,class2
13.55,21,class2
13.6,21.6,class2
12.95,22,class2
12.5,22.25,class2
12.2,22.85,class2
12.7,23.35,class2
13,22.7,class2
13.55,22.2,class2
14.05,22.25,class2
14.2,23.05,class2
14.1,23.6,class2
13.5,22.8,class2
13.35,23.5,class2
13.3,24,class2
7.3,19.15,class2
7.95,19.35,class2
7.7,20.05,class2
6.75,19.9,class2
5.25,20.35,class2
6.15,20.7,class1
7,20.7,class1
7.6,21.2,class1
8.55,20.6,class1
9.35,20.5,class1
8.3,21.45,class1
7.9,21.6,class1
7.15,21.75,class1
6.7,21.3,class1
5.2,21.1,class2
6.2,21.95,class1
6.75,22.4,class1
6.15,22.5,class1
5.65,22.2,class1
4.65,22.55,class1
4.1,23.45,class1
5.35,22.8,class1
7.4,22.6,class1
7.75,22.1,class1
8.5,22.3,class1
9.3,22,class1
9.7,22.95,class1
8.8,22.95,class1
8.05,22.9,class1
7.6,23.15,class1
6.85,23,class1
6.2,23.25,class1
5.7,23.4,class1
5.1,23.55,class1
4.55,24.15,class1
5.5,24,class1
6.1,24.05,class1
6.5,23.6,class1
6.75,23.95,class1
7.3,23.75,class1
8.3,23.4,class1
8.9,23.7,class1
9.55,23.65,class1
10.35,24.1,class1
7.95,24.05,class1
3.95,24.4,class1
3.75,25.25,class1
3.9,25.95,class1
4.55,26.65,class1
5.25,26.75,class1
6.5,27.6,class1
7.45,27.6,class1
8.35,27.35,class1
9.25,27.2,class1
9.95,26.5,class1
10.55,25.6,class1
9.9,24.95,class1
9.2,24.5,class1
8.55,24.2,class1
8.8,24.8,class1
9.2,25.35,class1
9.55,26.05,class1
9.05,26.6,class1
8.8,25.8,class1
8.15,26.35,class1
8.05,25.8,class1
8.35,25.2,class1
7.9,25.3,class1
8.05,24.7,class1
7.3,24.4,class1
7.55,24.85,class1
6.85,24.45,class1
6.25,24.65,class1
5.55,24.5,class1
4.65,25.1,class1
5,25.55,class1
5.55,26.1,class1
5.55,25.25,class1
6.2,25.2,class1
6.8,25.05,class1
7.4,25.25,class1
6.65,25.45,class1
6.15,25.8,class1
6.5,26.1,class1
6.6,26.6,class1
7.7,26.65,class1
7.5,26.2,class1
7.5,25.65,class1
7.05,25.85,class1
6.9,27.15,class1
6.15,26.9,class1
