HUE-MEAN,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,CLASS
-0.57094,18.0,145.0,9,0.0,0.0,0.38888896,0.018518496,0.6111111,0.3740741,3.925926,5.5555553,4.0,2.2222223,4.888889,0.22222222,-5.111111,5.5555553,0.6005291,class1
-1.1218182,140.0,125.0,9,0.0,0.0,0.2777779,0.06296301,0.66666675,0.31111118,6.185185,7.3333335,7.6666665,3.5555556,3.4444444,4.4444447,-7.888889,7.7777777,0.5456349,class1
-1.5397619,105.0,110.0,9,0.0,0.0,0.5,0.12222223,1.9444445,2.3740728,4.2222223,4.3333335,6.3333335,2.0,0.33333334,6.3333335,-6.6666665,6.3333335,0.7083333,class1
-0.92481726,188.0,133.0,9,0.0,0.0,0.33333334,0.26666674,0.5,0.077777736,6.6666665,8.333334,7.7777777,3.8888888,5.0,3.3333333,-8.333333,8.444445,0.53858024,class1
-0.98394656,57.0,117.0,9,0.0,0.0,0.4444445,0.20740739,0.38888893,0.06296291,6.3333335,7.6666665,7.4444447,3.8888888,4.0,3.3333333,-7.3333335,8.0,0.51036155,class1
-1.1757725,39.0,111.0,9,0.0,0.0,0.72222227,0.37407416,0.8888889,0.4296295,6.037037,7.0,7.6666665,3.4444444,2.8888888,4.888889,-7.7777777,7.888889,0.56291884,class1
-0.8507829,95.0,131.0,9,0.0,0.0,0.5555555,0.162963,1.3333334,0.7111112,5.3333335,6.888889,6.111111,3.0,4.6666665,2.3333333,-7.0,7.2222223,0.5928131,class1
-1.6232022,26.0,67.0,9,0.11111111,0.0,1.0,0.8888903,2.4444447,3.1851847,20.0,19.555555,25.88889,14.555555,-1.3333334,17.666666,-16.333334,25.88889,0.4369392,class1
-0.675123,193.0,142.0,9,0.11111111,0.0,0.38888887,0.06296293,1.7222223,0.15185216,4.814815,6.7777777,5.2222223,2.4444444,5.888889,1.2222222,-7.111111,6.7777777,0.646164,class1
-1.3450956,14.0,110.0,9,0.0,0.0,1.7222224,5.3518505,2.6666667,1.0222229,17.925926,18.88889,21.444445,13.444445,2.8888888,10.555555,-13.444445,21.444445,0.36884832,class1
-1.3021333,11.0,108.0,9,0.0,0.0,1.3333335,0.80000025,1.3888888,0.95185167,17.666666,19.0,21.11111,12.888889,4.0,10.333333,-14.333333,21.11111,0.38875645,class1
-1.1632453,148.0,116.0,9,0.0,0.0,0.4999999,0.4777777,1.1666669,0.6111109,6.111111,7.111111,7.6666665,3.5555556,3.0,4.6666665,-7.6666665,7.7777777,0.54473305,class1
