x,y,class
26.75,22.15,class1
29.8,22.15,class1
31.55,21.1,class1
27.7,20.85,class1
29.9,19.95,class1
26.8,19.05,class1
28.35,18.25,class1
30.4,17.85,class1
27.25,16.7,class1
29.05,16,class1
27.15,14.85,class1
28.2,13.95,class1
30.35,13.85,class1
27.25,11.95,class1
29.45,12.05,class1
31.55,12.2,class1
33.05,10.65,class1
29.95,9.85,class1
28,9.75,class1
27.15,7.85,class1
29.15,8.1,class1
31.95,8.6,class1
34.7,8.55,class1
34.8,12.25,class1
36.3,15.25,class1
36.6,13.2,class1
38.7,14.25,class1
40.3,15.5,class1
42.25,14.25,class1
40.7,12.8,class1
38.6,12.1,class1
36.1,10.5,class1
38.35,10.4,class1
37.65,8.4,class1
40.15,8.55,class1
40.8,10.65,class1
42.9,11.25,class1
41.95,8.5,class1
42.45,17.45,class1
40.25,18.45,class1
42.55,19.45,class1
40.95,20.65,class1
42.25,22.15,class1
38.85,22.4,class1
38.4,20,class1
35.25,20.2,class1
33.25,21,class1
34.15,22.35,class1
35.55,22.5,class1
36.55,21.4,class1
33.35,19.6,class2
32.85,19.55,class2
32.4,19.15,class2
32.45,18.7,class2
32.8,18.9,class2
33.2,19.2,class2
33.7,19.05,class2
33.4,18.75,class2
33.05,18.5,class2
32.8,18.2,class2
34,18.7,class2
33.85,18.25,class2
33.35,18.15,class2
32.8,17.7,class2
33.15,17.55,class2
33.75,17.75,class2
34.15,17.85,class2
34.35,18.35,class2
34.95,18.5,class2
34.75,18.05,class2
35.15,18.05,class2
35.65,18.15,class2
35.45,18.7,class2
36.05,18.75,class2
36.25,18.2,class2
36.6,18.7,class2
37.1,18.5,class2
36.75,18.1,class2
37.65,18.3,class2
37.15,17.85,class2
37.65,17.75,class2
38.05,18.1,class2
38.45,17.7,class2
38.8,17.3,class2
38.2,17.25,class2
38.6,16.8,class2
38.25,16.35,class2
37.9,16.85,class2
37.5,17.3,class2
37.65,16.4,class2
37.15,16.7,class2
37,17.15,class2
36.6,17.4,class2
36.15,17.55,class2
35.75,17.65,class2
36.6,16.9,class2
36.05,16.95,class2
35.45,17,class2
35.3,17.55,class2
34.9,17,class2
34.75,17.45,class2
34.3,17.35,class2
34.3,16.8,class2
33.9,17.2,class2
33.35,17.05,class2
32.85,16.95,class2
33.55,16.6,class2
34,16.4,class2
32.45,17.2,class2
32.1,16.85,class2
31.7,16.65,class2
31.2,16.35,class2
30.95,15.75,class2
31.15,15.35,class2
31.45,15.1,class2
31.75,14.7,class2
32.15,14.35,class2
32.65,14.15,class2
33.15,14.05,class2
33.8,13.9,class2
34.35,14.2,class2
34.3,14.85,class2
34.05,15.35,class2
33.9,15.95,class2
33.35,16.05,class2
33,16.5,class2
32.45,16.6,class2
31.95,16.25,class2
31.5,15.85,class2
31.75,15.4,class2
32.15,15.8,class2
32.55,16.1,class2
32.9,15.7,class2
32.55,15.4,class2
32.05,15.2,class2
32.5,14.8,class2
33,15.25,class2
33.5,15.6,class2
33.6,15.05,class2
32.9,14.7,class2
33.3,14.5,class2
33.8,14.5,class2
9.2,22.35,class3
10.9,22.35,class3
12.45,22.3,class3
13.95,22.05,class3
14.65,20.3,class3
13.15,20.8,class3
11.6,20.95,class3
10.25,21.25,class3
9.2,20.8,class3
8.05,21.55,class3
7.15,19.9,class3
8.55,20,class3
8.5,19.2,class3
7.35,18.3,class3
8.25,16.65,class3
8.95,18,class3
9.6,18.85,class3
9.65,19.75,class3
10.2,20.25,class3
10.9,20.3,class3
12.15,20,class3
11.25,19.75,class3
10.8,19.6,class3
10.4,19.55,class3
10.65,19.35,class3
10.3,19.15,class3
10.95,19.1,class3
10.6,18.85,class3
10.05,18.1,class3
10.35,16.9,class3
10.05,15.9,class3
11.15,18.1,class3
12.1,18.75,class3
13.2,19.2,class3
11.5,17.1,class3
12.65,17.65,class3
14.45,18.35,class4
13.9,16.7,class3
12.6,15.8,class3
15.95,20.75,class4
16.95,21.6,class4
17.9,21.95,class4
19,22.7,class4
20.45,22.75,class4
19.1,21.7,class4
20.4,21.4,class4
21.95,21.9,class4
18.65,20.7,class4
17.75,20.55,class4
17.05,19.85,class4
15.75,19.45,class4
15.75,18.25,class4
16.35,16.9,class4
17.2,15.9,class4
17.9,17,class4
17.3,17.75,class4
17,18.9,class4
17.8,18.65,class4
17.85,19.5,class4
18.5,19.9,class4
19.1,19.95,class4
19.55,20.55,class4
20.1,19.9,class4
19.55,19.3,class4
18.95,19.3,class4
18.55,19.2,class4
18.45,18.85,class4
18.85,18.9,class4
19.2,18.8,class4
18.75,18.55,class4
18.3,18.1,class4
19.1,17.8,class4
19,16.75,class4
18.75,15.5,class4
19.65,18.2,class4
20.1,18.95,class4
21.25,20.4,class4
21.45,19,class4
20.9,17.9,class4
20.25,17.2,class4
20.1,15.4,class4
21.4,15.95,class4
22.2,17.15,class4
11.4,12.55,class5
12.05,12.75,class5
12.7,13,class5
13.35,13.05,class5
14.2,12.95,class5
15.05,12.95,class5
15.6,12.95,class5
16.1,13.1,class5
15.95,12.6,class5
15.4,12.45,class5
14.65,12.4,class5
13.85,12.4,class5
13.15,12.2,class5
12.65,12.4,class5
11.9,12.1,class5
12,11.5,class5
12.65,11.65,class5
13.4,11.65,class5
14.1,11.7,class5
14.6,11.8,class5
15.2,11.95,class5
15.05,11.55,class5
14.45,11.2,class5
13.95,10.9,class5
13.05,11.1,class5
13.55,10.65,class5
12.45,10.9,class5
13.2,10.25,class5
11.25,11.1,class5
11.25,11.85,class5
10.7,12.25,class5
10.05,11.85,class5
10.6,11.6,class5
9.75,11.35,class5
10.4,10.9,class5
9.75,10.6,class5
9.75,9.8,class5
10.35,10.2,class5
10.9,10.4,class5
11.7,10.55,class5
12.4,10.1,class5
12.9,9.7,class5
12.35,9.65,class5
11.85,10,class5
11.15,9.8,class5
10.65,9.55,class5
10.1,9.25,class5
10.75,9,class5
11.1,9.3,class5
11.7,9.4,class5
12.15,9.1,class5
12.85,9.05,class5
12.45,8.7,class5
11.95,8.25,class5
11.7,8.85,class5
11.3,8.5,class5
11.55,7.95,class5
12.9,8.5,class5
13.25,8.05,class5
12.65,7.95,class5
12.1,7.6,class5
11.65,7.35,class5
12.2,7,class5
11.8,6.65,class5
12.65,7.3,class5
13.2,7.55,class5
13.65,7.75,class5
14.35,7.55,class5
13.8,7.3,class5
13.35,6.85,class5
12.7,6.7,class5
12.45,6.25,class5
13.2,5.85,class5
13.65,6.25,class5
14.1,6.75,class5
14.7,6.9,class5
15,7.5,class5
15.85,7.3,class5
15.35,7.05,class5
15.1,6.35,class5
14.45,6.3,class5
14.75,5.75,class5
13.95,5.8,class5
15.5,5.9,class5
15.8,6.4,class5
16.05,6.85,class5
16.55,7.1,class5
16.7,6.5,class5
16.25,6.1,class5
17.05,6.25,class5
15.85,11.55,class5
15.9,12.1,class5
16.3,11.65,class5
16.55,12.05,class5
16.5,12.6,class5
16.75,13.1,class5
17.5,13,class5
17.15,12.65,class5
17.1,12.1,class5
16.9,11.7,class5
17.4,11.65,class5
17.55,12.1,class5
17.75,12.65,class5
18.3,12.75,class5
18.25,12.25,class5
18,11.95,class5
17.85,11.5,class5
18.3,11.65,class5
18.6,12,class5
18.85,12.45,class5
19.1,11.8,class5
