x,y,class
664159,550946,class1
613868,585089,class1
588964,597435,class1
597173,575538,class1
635690,608046,class1
557378,567033,class1
545235,539822,class1
624415,515911,class1
572029,518313,class1
577728,587566,class1
604352,573425,class1
614943,540976,class1
587466,564953,class1
658199,568743,class1
593317,534085,class1
594010,570095,class1
541976,512639,class1
601900,569391,class1
593840,578685,class1
625579,551084,class1
631446,561156,class1
560237,500154,class1
559078,570088,class1
626224,569687,class1
597428,569940,class1
606111,617846,class1
668502,563937,class1
629533,537542,class1
585195,555011,class1
651740,589474,class1
589112,536573,class1
526559,509417,class1
603849,572396,class1
603445,630598,class1
645171,595209,class1
600117,539079,class1
597418,538362,class1
619445,567491,class1
628696,542447,class1
600202,622079,class1
603021,577991,class1
515612,540643,class1
601530,577183,class1
605913,579526,class1
579773,568698,class1
583653,652182,class1
606144,575076,class1
599808,596484,class1
611044,571814,class1
609286,586782,class1
680357,620811,class1
569422,567790,class1
611508,503220,class1
551740,588768,class1
647103,573853,class1
597077,568196,class1
697959,614701,class1
609796,532982,class1
526802,551524,class1
553038,606418,class1
797834,297329,class2
794615,305632,class2
804702,315881,class2
797009,293194,class2
804038,306622,class2
802784,313853,class2
802254,320673,class2
800772,325023,class2
769386,259892,class2
797272,324228,class2
796952,318633,class2
820904,351763,class2
824212,363776,class2
782642,275308,class2
797178,310439,class2
807401,314610,class2
801145,317601,class2
803932,318781,class2
775604,274485,class2
800133,327081,class2
806131,312752,class2
799021,326404,class2
804354,309671,class2
806320,315242,class2
801910,325434,class2
821151,366545,class2
801903,312794,class2
816145,349032,class2
803603,327255,class2
802237,318526,class2
804408,337683,class2
801093,317509,class2
802431,322048,class2
798059,316113,class2
801441,323812,class2
811061,333595,class2
773955,239849,class2
790395,300024,class2
791983,298565,class2
783110,289805,class2
800235,316652,class2
804630,332333,class2
810903,332925,class2
797947,319734,class2
810543,341180,class2
810657,329468,class2
796609,319691,class2
809550,327365,class2
804190,320706,class2
800461,326821,class2
795322,311178,class2
804358,320802,class2
823913,369439,class2
803386,318982,class2
812869,346251,class2
803470,319069,class2
838129,404012,class2
808717,335740,class2
800316,311699,class2
790932,305223,class2
826228,376658,class2
801456,320080,class2
799275,324108,class2
756701,207223,class2
400598,790903,class3
400008,789447,class3
492415,829655,class3
396617,801039,class3
404792,749210,class3
430686,844506,class3
347933,797148,class3
394274,837428,class3
445674,768552,class3
469422,822619,class3
376176,795539,class3
407289,798870,class3
473799,795167,class3
392795,817694,class3
372621,772258,class3
416855,794023,class3
389713,772742,class3
407694,718592,class3
398498,776720,class3
416444,783624,class3
456799,844976,class3
481133,781413,class3
444336,820061,class3
396118,794614,class3
419721,789724,class3
416884,786845,class3
383821,808301,class3
393758,750953,class3
390282,789593,class3
418410,795929,class3
460942,779073,class3
386436,791388,class3
401492,790336,class3
402666,814060,class3
406176,760860,class3
411488,837715,class3
446307,796523,class3
425053,790566,class3
424023,737453,class3
417447,782955,class3
416019,787562,class3
472691,802678,class3
417393,771537,class3
441415,780207,class3
344915,702496,class3
407460,791404,class3
417146,822655,class3
420476,750495,class3
399587,792459,class3
426040,825049,class3
407565,766203,class3
369418,733394,class3
409701,750741,class3
421352,799127,class3
391976,789416,class3
414377,771258,class3
424375,721868,class3
425260,773661,class3
496658,816784,class3
416433,786159,class3
439514,758221,class3
424145,743433,class3
419700,793447,class3
824594,741664,class4
839514,728923,class4
827711,732798,class4
819737,737829,class4
789388,712210,class4
827031,734324,class4
843891,721571,class4
807929,730950,class4
850451,764015,class4
866928,716961,class4
824765,761114,class4
829673,730398,class4
817640,730018,class4
818932,728481,class4
824322,744720,class4
777697,798253,class4
