x,y,class
845753,636607,class1
812954,643720,class1
868217,609046,class1
920248,607272,class1
841621,639394,class1
843907,598777,class1
817712,620917,class1
865980,632292,class1
876539,639944,class1
805247,642901,class1
829227,565484,class1
834679,669557,class1
851242,630615,class1
890325,702688,class1
832159,638667,class1
833736,637738,class1
778784,571492,class1
844489,672382,class1
825802,638894,class1
875471,622426,class1
879225,639387,class1
819482,633447,class1
818212,633262,class1
839324,651033,class1
817439,678071,class1
876202,600942,class1
841025,623927,class1
850781,619234,class1
754610,657392,class1
842733,640979,class1
881538,613492,class1
804685,671123,class1
877083,575129,class1
847312,655073,class1
827558,623170,class1
896258,707205,class1
829939,644422,class1
880719,597439,class1
828313,669762,class1
778978,589645,class1
832323,624353,class1
838906,655174,class1
913673,576755,class1
875535,587227,class1
797487,625675,class1
893942,596033,class1
770410,662419,class1
814804,605047,class1
832215,638387,class1
840280,643770,class1
833327,621905,class1
763542,635170,class1
825599,608689,class1
813209,683512,class1
938544,680392,class1
834393,656902,class1
787129,643393,class1
801229,617139,class1
886144,566002,class1
865073,661021,class1
796962,632416,class1
822877,612926,class1
835985,639514,class1
908901,628142,class1
807989,610817,class1
823816,651852,class1
818245,618659,class1
827601,640196,class1
846830,641704,class1
829041,623258,class1
858850,714281,class1
835967,564514,class1
835698,660461,class1
843223,632872,class1
880916,697241,class1
813541,641007,class1
913911,586519,class1
707529,693451,class1
846436,659041,class1
865316,690133,class1
842837,647272,class1
856101,601665,class1
822815,616988,class1
823364,620870,class1
817697,617678,class1
822368,648690,class1
855476,711703,class1
818065,675114,class1
843822,686283,class1
834396,637625,class1
802367,626026,class1
774481,694664,class1
805075,559992,class1
828813,622656,class1
841088,641913,class1
736868,591803,class1
812519,658809,class1
847097,610257,class1
880136,670834,class1
871566,663124,class1
835178,647851,class1
801113,631728,class1
836302,641336,class1
865563,600752,class1
856184,670732,class1
930906,675380,class1
787684,612023,class1
879210,671905,class1
940080,668730,class1
812951,619690,class1
782647,635710,class1
834146,634536,class1
825334,626399,class1
827880,657944,class1
806472,625818,class1
813142,634900,class1
834478,637224,class1
859522,666389,class1
812822,650842,class1
927475,652500,class1
830057,593423,class1
852554,687005,class1
755212,616702,class1
825515,636212,class1
841978,583774,class1
828956,617518,class1
851077,623381,class1
847787,616365,class1
781111,594759,class1
793474,650770,class1
849922,659848,class1
857555,592525,class1
851042,620360,class1
801896,668379,class1
798422,689889,class1
802904,649859,class1
833844,679629,class1
844117,650340,class1
750522,621023,class1
835324,635252,class1
805810,620656,class1
826540,709657,class1
821335,650998,class1
844114,619755,class1
799854,605921,class1
835851,659073,class1
850049,594729,class1
901514,652113,class1
826740,617100,class1
864116,598962,class1
830754,656445,class1
816172,642632,class1
875320,588946,class1
836090,553666,class1
944095,704540,class1
834141,639092,class1
858997,628120,class1
819923,617399,class1
812780,635276,class1
808308,627973,class1
868777,586944,class1
848355,652762,class1
853192,621237,class1
769703,672760,class1
983609,624193,class1
767435,659742,class1
795478,653018,class1
867257,713816,class1
822799,582231,class1
795493,623079,class1
894097,564130,class1
836258,638770,class1
725411,693316,class1
824187,721313,class1
835113,638129,class1
874788,594226,class1
811045,640408,class1
806425,629019,class1
817577,599782,class1
829553,641233,class1
780758,698302,class1
835775,635385,class1
836176,639066,class1
814374,659984,class1
787165,670018,class1
765298,632123,class1
814905,686125,class1
830536,651952,class1
837750,634132,class1
819893,646919,class1
803133,663437,class1
893841,718071,class1
869331,617053,class1
847430,623157,class1
810547,597362,class1
887955,652980,class1
856277,650393,class1
945668,662295,class1
910884,606259,class1
823954,581126,class1
780635,613287,class1
827314,657722,class1
874290,682154,class1
801009,632553,class1
758093,635151,class1
834477,615434,class1
778438,668842,class1
851028,601248,class1
847403,680628,class1
809226,590160,class1
847930,639549,class1
831541,638580,class1
818121,643361,class1
880168,671935,class1
815109,645044,class1
765957,654001,class1
917544,625573,class1
783878,625178,class1
889986,596630,class1
786184,663836,class1
918549,595580,class1
873325,661718,class1
836224,622436,class1
881118,595784,class1
854502,597915,class1
877342,656313,class1
849343,644126,class1
796153,621598,class1
806313,641996,class1
847671,637692,class1
869123,660870,class1
848927,645583,class1
800992,654397,class1
877837,634860,class1
836202,600653,class1
803719,688801,class1
812864,648497,class1
871038,632419,class1
848660,637062,class1
870340,608506,class1
839706,604004,class1
773106,587731,class1
838636,638170,class1
833424,637495,class1
803393,632114,class1
806771,696582,class1
837422,684164,class1
808230,615889,class1
839817,657140,class1
836065,643735,class1
832197,640740,class1
826449,642156,class1
864411,657059,class1
859075,596485,class1
821763,646463,class1
752624,684688,class1
761780,639502,class1
814196,638101,class1
837052,638157,class1
897135,678084,class1
839617,656945,class1
818902,650155,class1
840603,639421,class1
788208,596833,class1
830238,629304,class1
961248,667934,class1
821180,615439,class1
865014,601082,class1
812456,609760,class1
850548,639470,class1
846404,608400,class1
844405,710620,class1
834271,681372,class1
892746,564842,class1
832917,653009,class1
815156,643108,class1
862657,628917,class1
736311,562847,class1
836640,689624,class1
828915,641716,class1
827016,648159,class1
717529,589445,class1
828640,621078,class1
825800,639916,class1
867216,629792,class1
788063,640066,class1
804909,659876,class1
828224,658191,class1
865774,654156,class1
831381,628919,class1
831414,641690,class1
808631,648619,class1
789304,619247,class1
845460,690530,class1
836208,638514,class1
868895,604801,class1
808291,631630,class1
894943,635233,class1
864186,639299,class1
841314,705207,class1
623573,252933,class2
551501,163944,class2
542414,323445,class2
543918,261399,class2
569298,222324,class2
617516,155138,class2
492219,176220,class2
599902,344442,class2
595923,301961,class2
561290,237997,class2
557171,300772,class2
515461,280908,class2
593235,212579,class2
599791,239507,class2
604067,254704,class2
602097,293208,class2
528532,271983,class2
612097,204266,class2
539684,261404,class2
490360,160125,class2
624439,284325,class2
531766,227178,class2
564691,253901,class2
503485,225519,class2
582912,368192,class2
570399,302552,class2
554412,259217,class2
565947,253914,class2
544626,261639,class2
573542,228366,class2
589472,240707,class2
621853,235743,class2
583727,240847,class2
512999,279524,class2
590219,205918,class2
557291,235283,class2
562609,261858,class2
573223,256679,class2
577033,261125,class2
618685,246895,class2
563806,242703,class2
572797,264895,class2
537958,171180,class2
564558,251534,class2
578430,260413,class2
495770,314954,class2
551139,304558,class2
654533,234925,class2
574254,246150,class2
546542,224111,class2
560338,216298,class2
676848,196504,class2
562287,210155,class2
589172,296436,class2
600350,211786,class2
531053,241400,class2
528764,238969,class2
555973,241310,class2
543279,201456,class2
569679,227969,class2
486998,186575,class2
493599,274738,class2
526990,234634,class2
578346,257049,class2
579387,214941,class2
560117,210841,class2
629472,276224,class2
565964,245190,class2
527110,273244,class2
545421,190964,class2
560155,172391,class2
561378,248389,class2
652718,214098,class2
577674,230794,class2
564281,248028,class2
537828,245621,class2
559807,248525,class2
565040,265155,class2
559796,237778,class2
567364,284685,class2
641053,302784,class2
535370,222161,class2
491034,294190,class2
578789,227708,class2
493843,284614,class2
577923,208670,class2
601465,233213,class2
582776,232737,class2
597019,238045,class2
547708,261848,class2
517797,231794,class2
557925,315216,class2
547397,204912,class2
567028,240598,class2
573124,241739,class2
589736,306268,class2
568682,234935,class2
655580,263955,class2
479452,292158,class2
570515,250347,class2
558916,242376,class2
540452,314834,class2
647754,219941,class2
566630,249854,class2
542945,138182,class2
553960,261006,class2
569226,276648,class2
564946,247303,class2
580188,355722,class2
526519,171753,class2
587283,244407,class2
552210,250433,class2
611343,258279,class2
561853,312878,class2
584508,218932,class2
569499,258173,class2
596805,276457,class2
535593,143445,class2
541643,260772,class2
561550,249062,class2
486280,298784,class2
500130,217874,class2
581491,248451,class2
540572,254309,class2
587211,212643,class2
635603,258029,class2
571211,249486,class2
557092,237979,class2
608511,224883,class2
450541,268972,class2
662544,262982,class2
632742,204460,class2
668355,167208,class2
560443,253200,class2
511472,197858,class2
550115,259569,class2
515463,270311,class2
545539,195363,class2
590449,254253,class2
570787,246876,class2
628713,228930,class2
556580,229133,class2
593632,266999,class2
526382,240215,class2
461510,212553,class2
550952,216322,class2
644419,196985,class2
655814,200692,class2
576564,168998,class2
568570,254388,class2
544728,151536,class2
552544,258173,class2
582510,232791,class2
576350,289752,class2
595209,248589,class2
567870,284151,class2
509669,309353,class2
557305,245969,class2
543639,242836,class2
582187,245841,class2
561214,239273,class2
603094,315792,class2
572393,258106,class2
563936,163930,class2
627272,253882,class2
568248,211315,class2
454114,291335,class2
580020,185292,class2
542857,258775,class2
536737,275481,class2
604791,256206,class2
598596,199243,class2
536423,156254,class2
674097,262961,class2
532044,241957,class2
542553,222643,class2
538243,205298,class2
638901,233978,class2
513685,127049,class2
564828,185324,class2
569149,273951,class2
516087,229278,class2
640460,282399,class2
555527,227043,class2
490765,271309,class2
590339,151183,class2
606457,178066,class2
565975,287165,class2
579551,211325,class2
666462,219600,class2
571916,294434,class2
515494,253115,class2
578997,247283,class2
583084,269586,class2
569736,251512,class2
582050,243429,class2
637274,267038,class2
581758,242967,class2
497313,297574,class2
601745,230592,class2
564593,278352,class2
554695,250159,class2
619204,203719,class2
542873,281338,class2
565013,238020,class2
612309,248937,class2
629933,177081,class2
529425,255876,class2
601962,303111,class2
534272,194510,class2
607232,201813,class2
617934,213483,class2
559992,244251,class2
566515,247483,class2
581817,347897,class2
600735,234314,class2
564311,254362,class2
564132,239716,class2
561656,242624,class2
547473,262112,class2
509737,204519,class2
581769,191909,class2
539373,231216,class2
558473,234860,class2
459924,277087,class2
