x,y,class
845753,636607,class1
812954,643720,class1
868217,609046,class1
920248,607272,class1
841621,639394,class1
843907,598777,class1
817712,620917,class1
865980,632292,class1
876539,639944,class1
805247,642901,class1
829227,565484,class1
834679,669557,class1
851242,630615,class1
890325,702688,class1
832159,638667,class1
833736,637738,class1
778784,571492,class1
844489,672382,class1
825802,638894,class1
875471,622426,class1
879225,639387,class1
819482,633447,class1
818212,633262,class1
839324,651033,class1
817439,678071,class1
876202,600942,class1
841025,623927,class1
850781,619234,class1
754610,657392,class1
842733,640979,class1
881538,613492,class1
804685,671123,class1
877083,575129,class1
847312,655073,class1
827558,623170,class1
896258,707205,class1
829939,644422,class1
880719,597439,class1
828313,669762,class1
778978,589645,class1
832323,624353,class1
838906,655174,class1
913673,576755,class1
875535,587227,class1
797487,625675,class1
893942,596033,class1
770410,662419,class1
814804,605047,class1
832215,638387,class1
840280,643770,class1
833327,621905,class1
763542,635170,class1
825599,608689,class1
813209,683512,class1
938544,680392,class1
834393,656902,class1
787129,643393,class1
801229,617139,class1
886144,566002,class1
865073,661021,class1
796962,632416,class1
822877,612926,class1
835985,639514,class1
908901,628142,class1
807989,610817,class1
823816,651852,class1
818245,618659,class1
827601,640196,class1
846830,641704,class1
829041,623258,class1
858850,714281,class1
835967,564514,class1
835698,660461,class1
843223,632872,class1
880916,697241,class1
813541,641007,class1
913911,586519,class1
707529,693451,class1
846436,659041,class1
865316,690133,class1
842837,647272,class1
856101,601665,class1
822815,616988,class1
823364,620870,class1
817697,617678,class1
822368,648690,class1
855476,711703,class1
818065,675114,class1
843822,686283,class1
834396,637625,class1
802367,626026,class1
774481,694664,class1
805075,559992,class1
828813,622656,class1
841088,641913,class1
736868,591803,class1
812519,658809,class1
847097,610257,class1
880136,670834,class1
871566,663124,class1
835178,647851,class1
801113,631728,class1
836302,641336,class1
865563,600752,class1
856184,670732,class1
930906,675380,class1
787684,612023,class1
879210,671905,class1
940080,668730,class1
812951,619690,class1
782647,635710,class1
834146,634536,class1
825334,626399,class1
827880,657944,class1
806472,625818,class1
813142,634900,class1
834478,637224,class1
859522,666389,class1
812822,650842,class1
927475,652500,class1
830057,593423,class1
852554,687005,class1
755212,616702,class1
825515,636212,class1
841978,583774,class1
828956,617518,class1
851077,623381,class1
847787,616365,class1
781111,594759,class1
793474,650770,class1
849922,659848,class1
857555,592525,class1
851042,620360,class1
801896,668379,class1
798422,689889,class1
802904,649859,class1
833844,679629,class1
844117,650340,class1
750522,621023,class1
835324,635252,class1
805810,620656,class1
826540,709657,class1
821335,650998,class1
844114,619755,class1
799854,605921,class1
835851,659073,class1
850049,594729,class1
901514,652113,class1
826740,617100,class1
864116,598962,class1
623573,252933,class2
551501,163944,class2
542414,323445,class2
543918,261399,class2
569298,222324,class2
617516,155138,class2
492219,176220,class2
599902,344442,class2
595923,301961,class2
561290,237997,class2
557171,300772,class2
515461,280908,class2
593235,212579,class2
599791,239507,class2
604067,254704,class2
602097,293208,class2
528532,271983,class2
612097,204266,class2
539684,261404,class2
490360,160125,class2
624439,284325,class2
531766,227178,class2
564691,253901,class2
503485,225519,class2
582912,368192,class2
570399,302552,class2
554412,259217,class2
565947,253914,class2
544626,261639,class2
573542,228366,class2
589472,240707,class2
621853,235743,class2
583727,240847,class2
512999,279524,class2
590219,205918,class2
557291,235283,class2
562609,261858,class2
573223,256679,class2
577033,261125,class2
618685,246895,class2
563806,242703,class2
572797,264895,class2
537958,171180,class2
564558,251534,class2
578430,260413,class2
495770,314954,class2
551139,304558,class2
654533,234925,class2
574254,246150,class2
546542,224111,class2
560338,216298,class2
676848,196504,class2
562287,210155,class2
589172,296436,class2
600350,211786,class2
531053,241400,class2
528764,238969,class2
555973,241310,class2
543279,201456,class2
569679,227969,class2
486998,186575,class2
493599,274738,class2
526990,234634,class2
578346,257049,class2
579387,214941,class2
560117,210841,class2
629472,276224,class2
565964,245190,class2
527110,273244,class2
545421,190964,class2
560155,172391,class2
561378,248389,class2
652718,214098,class2
577674,230794,class2
564281,248028,class2
537828,245621,class2
559807,248525,class2
565040,265155,class2
559796,237778,class2
567364,284685,class2
641053,302784,class2
535370,222161,class2
491034,294190,class2
578789,227708,class2
493843,284614,class2
577923,208670,class2
601465,233213,class2
582776,232737,class2
597019,238045,class2
547708,261848,class2
517797,231794,class2
557925,315216,class2
547397,204912,class2
567028,240598,class2
573124,241739,class2
589736,306268,class2
568682,234935,class2
655580,263955,class2
479452,292158,class2
570515,250347,class2
558916,242376,class2
540452,314834,class2
647754,219941,class2
566630,249854,class2
542945,138182,class2
553960,261006,class2
569226,276648,class2
564946,247303,class2
580188,355722,class2
526519,171753,class2
587283,244407,class2
552210,250433,class2
611343,258279,class2
561853,312878,class2
584508,218932,class2
569499,258173,class2
596805,276457,class2
535593,143445,class2
541643,260772,class2
561550,249062,class2
486280,298784,class2
500130,217874,class2
581491,248451,class2
540572,254309,class2
587211,212643,class2
635603,258029,class2
571211,249486,class2
557092,237979,class2
608511,224883,class2
450541,268972,class2
662544,262982,class2
632742,204460,class2
668355,167208,class2
560443,253200,class2
511472,197858,class2
550115,259569,class2
515463,270311,class2
545539,195363,class2
590449,254253,class2
570787,246876,class2
628713,228930,class2
556580,229133,class2
593632,266999,class2
526382,240215,class2
461510,212553,class2
550952,216322,class2
644419,196985,class2
655814,200692,class2
576564,168998,class2
568570,254388,class2
544728,151536,class2
552544,258173,class2
582510,232791,class2
576350,289752,class2
595209,248589,class2
567870,284151,class2
509669,309353,class2
557305,245969,class2
543639,242836,class2
256910,767396,class3
216249,729239,class3
254116,748223,class3
200897,724520,class3
237599,737826,class3
256884,794543,class3
259353,675965,class3
231574,696781,class3
287834,722534,class3
350191,686690,class3
294847,707911,class3
268507,721783,class3
275228,692003,class3
263839,718176,class3
256048,743012,class3
171374,680720,class3
257301,742004,class3
246193,781969,class3
254996,718603,class3
267628,718046,class3
189013,722025,class3
250283,811050,class3
260461,743971,class3
307642,768800,class3
252078,721273,class3
243511,729025,class3
250998,756247,class3
305422,749954,class3
330971,748510,class3
301925,681732,class3
258289,747532,class3
218066,652984,class3
268582,750393,class3
309307,676449,class3
297392,837410,class3
212684,744675,class3
256364,741672,class3
260803,732103,class3
293378,730822,class3
242768,720008,class3
275500,729880,class3
265037,605686,class3
241019,755172,class3
191241,788512,class3
255886,727572,class3
315723,708334,class3
234688,718141,class3
205548,820577,class3
210438,672028,class3
268715,766646,class3
212151,726042,class3
299298,716848,class3
391506,745793,class3
265410,761230,class3
380778,761351,class3
301915,642007,class3
288109,751211,class3
221650,852250,class3
203861,729571,class3
258191,719517,class3
276360,722572,class3
250153,705149,class3
225440,777239,class3
263300,708862,class3
209638,779903,class3
265687,728957,class3
219148,671608,class3
202313,803556,class3
260246,744148,class3
353731,733108,class3
361882,664820,class3
258354,712117,class3
344580,833937,class3
241344,757443,class3
286128,759627,class3
255492,699125,class3
246953,837747,class3
281449,742170,class3
244978,741020,class3
281490,707769,class3
318257,689616,class3
318320,785356,class3
267996,752791,class3
252398,735342,class3
169076,696994,class3
287127,769241,class3
251773,743313,class3
233154,798301,class3
289447,672315,class3
220236,696190,class3
180062,750026,class3
267928,721904,class3
315014,732821,class3
253678,781616,class3
249508,730021,class3
244713,684484,class3
213416,797429,class3
338623,688123,class3
272708,722671,class3
269722,735862,class3
265363,749935,class3
216910,714147,class3
211879,702740,class3
248415,734706,class3
281381,747219,class3
258514,721192,class3
240833,764794,class3
337516,771698,class3
211181,778052,class3
256102,748634,class3
231591,738461,class3
216906,697611,class3
308119,778435,class3
170563,774573,class3
235525,775028,class3
242177,789274,class3
231394,726782,class3
240546,720697,class3
242380,733130,class3
244510,760474,class3
252049,733991,class3
293158,788965,class3
258335,744541,class3
229258,799732,class3
318118,765932,class3
350824,788594,class3
269541,749416,class3
257595,742375,class3
218404,783360,class3
250965,638991,class3
271398,705520,class3
309785,740209,class3
293513,791559,class3
255953,744136,class3
270778,747623,class3
229246,721150,class3
182210,807220,class3
227734,741386,class3
297763,743676,class3
237737,729221,class3
243262,738194,class3
266271,753501,class3
224714,721683,class3
257321,743788,class3
245789,757434,class3
253157,736045,class3
117874,815348,class3
241709,731571,class3
347019,718343,class3
263035,735230,class3
247280,711237,class3
250639,741372,class3
247362,733488,class3
211789,695992,class3
216664,677522,class3
256255,743704,class3
237847,719301,class3
213313,735806,class3
581344,385622,class4
487508,410130,class4
531520,470380,class4
542398,407349,class4
535553,401850,class4
574340,386342,class4
489563,423442,class4
561517,424497,class4
548471,363521,class4
551619,407865,class4
535637,416695,class4
625861,446966,class4
512721,297462,class4
485787,451234,class4
545177,449711,class4
557549,430186,class4
450504,489695,class4
556721,406275,class4
596886,406323,class4
552270,452067,class4
598696,426412,class4
553121,424941,class4
585213,507300,class4
546923,447205,class4
524864,524465,class4
614862,474016,class4
472136,522566,class4
548741,424433,class4
579708,389172,class4
546195,435981,class4
473518,431029,class4
565818,441463,class4
528421,449609,class4
627970,406198,class4
492513,376096,class4
506194,412830,class4
585921,420969,class4
500095,384331,class4
606741,433003,class4
588823,391287,class4
550666,358776,class4
580102,421291,class4
540689,483370,class4
531336,427371,class4
560929,488831,class4
528839,404605,class4
587670,454726,class4
550071,432907,class4
545251,423126,class4
517722,389497,class4
487466,404035,class4
534359,410864,class4
573525,363494,class4
469597,469641,class4
444203,433426,class4
530126,482570,class4
497364,497954,class4
539380,452369,class4
