ari,db,silh,k,kdiff
0.661026399068941,0.7627625031343142,0.46085044619338666,18.0,3.0
0.6366704026144737,0.7858633434725346,0.4450721104934852,20.0,5.0
0.6684185164995705,0.8405269704962335,0.43229313004214714,20.0,5.0
0.671610024619473,0.7719997048184197,0.4468481514097776,21.0,6.0
0.6359026928020511,0.8165019114654094,0.4456166122880714,19.0,4.0
0.6685733413276631,0.7566471296995019,0.46455648981062914,20.0,5.0
0.6229502093719764,0.7639590151998057,0.44333090465432473,20.0,5.0
0.674689323690572,0.7409718117562947,0.4624521528977201,18.0,3.0
0.6543779391369493,0.7549135818519948,0.4461462668495546,18.0,3.0
0.6470840225859256,0.8418203797807344,0.4394427419386505,22.0,7.0
0.5987368535174737,0.8881154437059295,0.40150319770293874,21.0,6.0
0.6572053591099822,0.7638703704796102,0.44903760919494523,23.0,8.0
0.60062278942887,0.7698793390046539,0.4397577770402598,16.0,1.0
0.668630315264397,0.7620967061529972,0.4501689458606286,21.0,6.0
0.6640355926536698,0.6670382040928448,0.4792685679727331,14.0,1.0
0.6553899664562781,0.8296633420207917,0.4348804933291064,21.0,6.0
0.6526265330584496,0.8356480207711385,0.4299659213719169,20.0,5.0
0.6692388712835263,0.7743016316884204,0.4377689234108054,20.0,5.0
0.6202398900934941,0.8458102494931907,0.4287627843033995,20.0,5.0
0.608995243199935,0.7656351128022483,0.43394062040354014,20.0,5.0
0.7059662921095468,0.6889119814220367,0.48172361730844,16.0,1.0
0.6469125599660227,0.8354268179806038,0.43247487338589213,22.0,7.0
0.5563786133566763,0.8460697974682629,0.4167474023880978,16.0,1.0
0.6306034386859809,0.81833998349877,0.4418512515121631,18.0,3.0
0.5980313052109438,0.8457280006827793,0.43645911395554204,16.0,1.0
0.6342509157813775,0.8099744606315376,0.44392789165645463,20.0,5.0
0.6839982775471107,0.7394571065728636,0.46855471536379467,20.0,5.0
0.6634504797190516,0.72883651411718,0.4614857935843531,21.0,6.0
0.6865363630733339,0.7611330278914605,0.468377438779238,19.0,4.0
0.6717594630811127,0.7505393888193189,0.459956292072546,18.0,3.0
